country,2007
Afghanistan,12
Angola,6.99
Albania,4.21
United Arab Emirates,1.47
Argentina,2.8
Armenia,2.7
Australia,1.22
Austria,1.09
Azerbaijan,1.73
Burundi,4.07
Belgium,1.24
Benin,1.87
Burkina Faso,4.18
Bangladesh,0.81
Bulgaria,2.17
Bahrain,3.58
Bahamas,3.37
Bosnia and Herzegovina,2.65
Belarus,3.26
Belize,2.56
Bolivia,2.81
Brazil,2.73
Barbados,1.05
Brunei,1.67
Bhutan,4.07
Botswana,3.43
Central African Republic,2.55
Canada,1.38
Switzerland,1.01
Chile,2.34
China,2.05
Cote d'Ivoire,1.3
Cameroon,2.34
"Congo, Dem. Rep.",3.57
"Congo, Rep.",2.15
Colombia,1.99
Comoros,2.89
Cape Verde,1.66
Costa Rica,2.28
Cuba,1.72
Cyprus,1.31
Czech Republic,0.77
Germany,1.06
Djibouti,3.8
Denmark,1.2
Dominican Republic,2.01
Algeria,1.19
Ecuador,3.47
Egypt,2.41
Eritrea,1.9
Spain,1.3
Estonia,1.25
Ethiopia,3.24
Finland,1.03
Fiji,3.11
France,1.01
"Micronesia, Fed. Sts.",5.02
Gabon,0.784
United Kingdom,1.48
Georgia,1.97
Ghana,0.746
Guinea,1.81
Gambia,1.55
Guinea-Bissau,3.37
Equatorial Guinea,1.12
Greece,1.08
Grenada,0.994
Guatemala,2.8
Guyana,5.58
Honduras,2.47
Croatia,1.21
Haiti,1.93
Hungary,1.65
Indonesia,1.09
India,2.76
Ireland,1.56
Iran,2.54
Iraq,0.927
Iceland,1.08
Israel,1.65
Italy,1.3
Jamaica,3.72
Jordan,2.2
Japan,1.38
Kazakhstan,4.53
Kenya,2.95
Kyrgyz Republic,1.26
Cambodia,5.8
South Korea,1.57
Kuwait,2.98
Lao,3.19
Lebanon,2.09
Liberia,2.76
Libya,3.02
St. Lucia,0.989
Sri Lanka,2.43
Lesotho,0.859
Lithuania,1.94
Luxembourg,0.734
Latvia,2.16
Morocco,0.9
Moldova,3.85
Madagascar,3.12
Maldives,2.44
Mexico,4.32
North Macedonia,1.8
Mali,4.43
Malta,2.17
Myanmar,2.06
Montenegro,1.71
Mongolia,4.37
Mozambique,2.21
Mauritania,2.64
Mauritius,2.98
Malawi,2.11
Malaysia,1.62
Namibia,0.528
Niger,2.98
Nigeria,2.4
Nicaragua,2.74
Netherlands,1.09
Norway,0.947
Nepal,0.754
New Zealand,0.841
Oman,2.09
Pakistan,2.44
Panama,3.71
Peru,2.95
Philippines,2.88
Papua New Guinea,3.95
Poland,1.61
North Korea,2.05
Portugal,1.09
Paraguay,2.25
Qatar,2.34
Romania,1.8
Russia,2.39
Rwanda,2.72
Saudi Arabia,3.6
Sudan,2.15
Senegal,1.85
Singapore,0.995
Solomon Islands,3.21
Sierra Leone,4.92
El Salvador,2.89
Somalia,4.46
Serbia,1.38
Sao Tome and Principe,9.52
Suriname,4.09
Slovak Republic,2.17
Slovenia,0.565
Sweden,1.08
Eswatini,1.51
Syria,2.98
Chad,2.7
Togo,1.24
Thailand,1.56
Tajikistan,2.35
Turkmenistan,1.61
Tonga,3.5
Trinidad and Tobago,4.5
Tunisia,2.85
Turkey,2.64
Tanzania,1.83
Uganda,1.75
Ukraine,3.89
Uruguay,3.36
United States,1.67
Uzbekistan,1.06
St. Vincent and the Grenadines,1.04
Venezuela,2.56
Vietnam,1.5
Vanuatu,3.96
Samoa,3.8
Yemen,1.62
South Africa,2.42
Zambia,2.68
Zimbabwe,1.51
